h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.0,0.3,GCN,0.68,16.38796031475067,19.257918000221252,before
0.0,0.0,0.3,GCN,0.7133333333333334,9.280936419963837,17.963317036628723,after
0.0,0.1,0.3,GCN,0.71,28.302675485610962,18.293005228042603,before
0.0,0.1,0.3,GCN,0.69,29.47324514389038,19.81271356344223,after
0.0,0.2,0.3,GCN,0.6766666666666666,13.294313848018646,6.882661581039429,before
0.0,0.2,0.3,GCN,0.6866666666666666,14.882943034172058,3.4315332770347595,after
0.0,0.3,0.3,GCN,0.6766666666666666,28.616219758987427,16.61859154701233,before
0.0,0.3,0.3,GCN,0.65,29.368728399276733,19.219183921813965,after
0.0,0.4,0.3,GCN,0.6766666666666666,12.583611905574799,2.966051548719406,before
0.0,0.4,0.3,GCN,0.6466666666666666,13.04347813129425,7.398724555969238,after
0.0,0.5,0.3,GCN,0.7366666666666667,21.446488797664642,2.719070389866829,before
0.0,0.5,0.3,GCN,0.6966666666666667,21.801839768886566,5.85440881550312,after
0.0,0.6,0.3,GCN,0.6966666666666667,15.88628739118576,1.8519025295972824,before
0.0,0.6,0.3,GCN,0.68,20.359531044960022,6.2850311398506165,after
0.0,0.7,0.3,GCN,0.6566666666666666,13.482441008090973,3.996582329273224,before
0.0,0.7,0.3,GCN,0.6633333333333333,14.945651590824127,3.0606061220169067,after
0.0,0.8,0.3,GCN,0.7533333333333333,17.224080860614777,12.233538925647736,before
0.0,0.8,0.3,GCN,0.7466666666666667,19.042642414569855,4.45796325802803,after
0.0,0.9,0.3,GCN,0.73,20.589464902877808,12.870585918426514,before
0.0,0.9,0.3,GCN,0.6666666666666666,19.690635800361633,9.209159016609192,after
0.0,1.0,0.3,GCN,0.7566666666666667,24.226588010787964,15.241512656211853,before
0.0,1.0,0.3,GCN,0.6533333333333333,25.459864735603333,21.097972989082336,after
0.1,0.0,0.3,GCN,0.6866666666666666,14.820234477519989,5.562998354434967,before
0.1,0.0,0.3,GCN,0.6666666666666666,15.530936419963837,8.063796162605286,after
0.1,0.1,0.3,GCN,0.6933333333333334,13.963210582733154,3.169970214366913,before
0.1,0.1,0.3,GCN,0.69,23.34866225719452,10.317384451627731,after
0.1,0.2,0.3,GCN,0.6933333333333334,17.01505035161972,2.069036103785038,before
0.1,0.2,0.3,GCN,0.67,27.090302109718323,15.557530522346497,after
0.1,0.3,0.3,GCN,0.6933333333333334,13.419732451438904,7.574163377285004,before
0.1,0.3,0.3,GCN,0.68,26.609531044960022,15.867851674556732,after
0.1,0.4,0.3,GCN,0.67,11.663879454135895,9.352472424507141,before
0.1,0.4,0.3,GCN,0.66,10.639631748199463,3.0713148415088654,after
0.1,0.5,0.3,GCN,0.7133333333333334,18.311037123203278,11.80063784122467,before
0.1,0.5,0.3,GCN,0.7033333333333334,20.568561553955078,14.088858664035797,after
0.1,0.6,0.3,GCN,0.74,17.224080860614777,1.7997264862060547,before
0.1,0.6,0.3,GCN,0.64,24.37290996313095,17.387332022190094,after
0.1,0.7,0.3,GCN,0.6866666666666666,19.23076957464218,9.570062160491943,before
0.1,0.7,0.3,GCN,0.75,31.91889524459839,15.75825959444046,after
0.1,0.8,0.3,GCN,0.66,19.021739065647125,6.933926045894623,before
0.1,0.8,0.3,GCN,0.7266666666666667,14.945651590824127,5.104579403996468,after
0.1,0.9,0.3,GCN,0.74,25.313544273376465,15.053999423980713,before
0.1,0.9,0.3,GCN,0.74,28.34448218345642,12.445887923240662,after
0.1,1.0,0.3,GCN,0.77,21.697324514389038,11.484620720148087,before
0.1,1.0,0.3,GCN,0.7766666666666666,22.408026456832886,12.872636318206787,after
0.2,0.0,0.3,GCN,0.64,15.280100703239441,5.973570421338081,before
0.2,0.0,0.3,GCN,0.64,17.767558991909027,11.379585415124893,after
0.2,0.1,0.3,GCN,0.66,16.701504588127136,8.079288899898529,before
0.2,0.1,0.3,GCN,0.6733333333333333,21.864548325538635,11.986557394266129,after
0.2,0.2,0.3,GCN,0.6833333333333333,16.074414551258087,3.6953747272491455,before
0.2,0.2,0.3,GCN,0.69,14.820234477519989,2.7662336826324463,after
0.2,0.3,0.3,GCN,0.6866666666666666,22.052675485610962,9.998177736997604,before
0.2,0.3,0.3,GCN,0.6933333333333334,16.847826540470123,4.683754593133926,after
0.2,0.4,0.3,GCN,0.6666666666666666,9.761705994606018,6.881749629974365,before
0.2,0.4,0.3,GCN,0.6266666666666667,12.688127160072327,3.471405804157257,after
0.2,0.5,0.3,GCN,0.6633333333333333,20.610368251800537,9.451811015605927,before
0.2,0.5,0.3,GCN,0.62,14.005017280578613,6.967190653085709,after
0.2,0.6,0.3,GCN,0.6566666666666666,15.90719074010849,7.694919407367706,before
0.2,0.6,0.3,GCN,0.7333333333333333,24.35200661420822,5.425837263464928,after
0.2,0.7,0.3,GCN,0.73,25.752508640289307,13.524721562862396,before
0.2,0.7,0.3,GCN,0.7133333333333334,17.11956560611725,13.119161128997803,after
0.2,0.8,0.3,GCN,0.6766666666666666,12.290970236063004,9.736158698797226,before
0.2,0.8,0.3,GCN,0.71,20.025083422660828,10.087491571903229,after
0.2,0.9,0.3,GCN,0.6866666666666666,15.426421165466309,3.5864662379026413,before
0.2,0.9,0.3,GCN,0.6666666666666666,10.472407937049866,8.740942925214767,after
0.2,1.0,0.3,GCN,0.6966666666666667,28.783443570137024,20.15926241874695,before
0.2,1.0,0.3,GCN,0.67,14.255852997303009,10.569149255752563,after
0.3,0.0,0.3,GCN,0.6966666666666667,22.17809408903122,9.379129856824875,before
0.3,0.0,0.3,GCN,0.7266666666666667,22.010870277881622,13.272272050380707,after
0.3,0.1,0.3,GCN,0.7433333333333333,25.62709152698517,9.513328969478607,before
0.3,0.1,0.3,GCN,0.74,25.0,9.305763989686966,after
0.3,0.2,0.3,GCN,0.6766666666666666,13.60785961151123,2.8614718466997147,before
0.3,0.2,0.3,GCN,0.66,24.49832707643509,16.061745584011078,after
0.3,0.3,0.3,GCN,0.6766666666666666,12.729932367801666,4.734335839748383,before
0.3,0.3,0.3,GCN,0.6566666666666666,16.137123107910156,10.150831937789917,after
