h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.0,0.3,GCN,0.6966666666666667,17.934782803058624,7.999088615179062,before
0.0,0.0,0.3,GCN,0.6966666666666667,18.79180669784546,13.078376650810242,after
0.0,0.1,0.3,GCN,0.6766666666666666,25.731605291366577,16.026201844215393,before
0.0,0.1,0.3,GCN,0.66,27.508360147476196,23.08020144701004,after
0.0,0.2,0.3,GCN,0.7266666666666667,18.520067632198334,3.1458191573619843,before
0.0,0.2,0.3,GCN,0.7033333333333334,19.35618668794632,4.466165229678154,after
0.0,0.3,0.3,GCN,0.6666666666666666,17.328594624996185,5.174755305051804,before
0.0,0.3,0.3,GCN,0.65,22.930602729320526,14.119616150856018,after
0.0,0.4,0.3,GCN,0.67,11.162207275629044,4.224652424454689,before
0.0,0.4,0.3,GCN,0.6533333333333333,20.798495411872864,9.478241205215454,after
0.0,0.5,0.3,GCN,0.71,24.581940472126007,7.330599427223206,before
0.0,0.5,0.3,GCN,0.65,15.217390656471252,2.9583049938082695,after
0.0,0.6,0.3,GCN,0.6566666666666666,13.357023894786835,2.406242862343788,before
0.0,0.6,0.3,GCN,0.69,14.17224109172821,1.1547049507498741,after
0.0,0.7,0.3,GCN,0.6533333333333333,5.66471554338932,13.402141630649567,before
0.0,0.7,0.3,GCN,0.6733333333333333,16.032609343528748,2.732285298407078,after
0.0,0.8,0.3,GCN,0.66,19.732441008090973,7.074732333421707,before
0.0,0.8,0.3,GCN,0.7466666666666667,16.262541711330414,5.497607588768005,after
0.0,0.9,0.3,GCN,0.6566666666666666,4.891304299235344,19.696059823036194,before
0.0,0.9,0.3,GCN,0.7666666666666667,23.494982719421387,7.612895965576172,after
0.0,1.0,0.3,GCN,0.7733333333333333,22.17809408903122,19.16792094707489,before
0.0,1.0,0.3,GCN,0.67,23.578594624996185,20.437002182006836,after
0.1,0.0,0.3,GCN,0.6633333333333333,14.339464902877808,6.088858097791672,before
0.1,0.0,0.3,GCN,0.6866666666666666,21.446488797664642,12.927545607089996,after
0.1,0.1,0.3,GCN,0.6933333333333334,14.318561553955078,5.733424425125122,before
0.1,0.1,0.3,GCN,0.6833333333333333,18.68729144334793,8.303941786289215,after
0.1,0.2,0.3,GCN,0.68,19.94147151708603,8.342903107404709,before
0.1,0.2,0.3,GCN,0.68,9.63628739118576,9.520164132118225,after
0.1,0.3,0.3,GCN,0.6533333333333333,13.963210582733154,1.109820045530796,before
0.1,0.3,0.3,GCN,0.6833333333333333,16.116221249103546,1.5062656253576279,after
0.1,0.4,0.3,GCN,0.68,13.06438148021698,5.659603327512741,before
0.1,0.4,0.3,GCN,0.67,19.25167292356491,8.652768284082413,after
0.1,0.5,0.3,GCN,0.7,27.717390656471252,14.602187275886536,before
0.1,0.5,0.3,GCN,0.7133333333333334,20.192307233810425,10.428115725517273,after
0.1,0.6,0.3,GCN,0.6766666666666666,22.24080264568329,8.756892383098602,before
0.1,0.6,0.3,GCN,0.7266666666666667,19.753344357013702,6.1020731925964355,after
0.1,0.7,0.3,GCN,0.68,21.258361637592316,8.822055160999298,before
0.1,0.7,0.3,GCN,0.78,35.07525026798248,17.226475477218628,after
0.1,0.8,0.3,GCN,0.7666666666666667,24.205686151981354,14.073136448860168,before
0.1,0.8,0.3,GCN,0.7033333333333334,16.722407937049866,0.8667122572660446,after
0.1,0.9,0.3,GCN,0.7466666666666667,29.410535097122192,17.0640230178833,before
0.1,0.9,0.3,GCN,0.72,30.476588010787964,11.699476093053818,after
0.1,1.0,0.3,GCN,0.7733333333333333,20.96571922302246,12.957850098609924,before
0.1,1.0,0.3,GCN,0.7633333333333333,20.840300619602203,13.576896488666534,after
0.2,0.0,0.3,GCN,0.6566666666666666,12.625418603420258,2.946912683546543,before
0.2,0.0,0.3,GCN,0.6433333333333333,16.97324365377426,7.026201486587524,after
0.2,0.1,0.3,GCN,0.65,15.154682099819183,3.185008093714714,before
