h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.0,0.3,GCN,0.7,16.241638362407684,14.875826239585876,before
0.0,0.0,0.3,GCN,0.69,22.554348409175873,10.118250548839569,after
0.0,0.1,0.3,GCN,0.6666666666666666,27.424749732017517,20.195716619491577,before
0.0,0.1,0.3,GCN,0.6833333333333333,30.790135264396667,20.582592487335205,after
0.0,0.2,0.3,GCN,0.6933333333333334,22.972407937049866,9.453178197145462,before
0.0,0.2,0.3,GCN,0.71,12.47909665107727,11.837092787027359,after
0.0,0.3,0.3,GCN,0.6866666666666666,9.991639107465744,5.869446322321892,before
0.0,0.3,0.3,GCN,0.6866666666666666,19.042642414569855,6.782866269350052,after
0.0,0.4,0.3,GCN,0.66,11.496655642986298,4.146502912044525,before
0.0,0.4,0.3,GCN,0.6266666666666667,10.723244398832321,0.7678287103772163,after
0.0,0.5,0.3,GCN,0.6466666666666666,9.11371260881424,5.109364166855812,before
0.0,0.5,0.3,GCN,0.66,21.59280925989151,9.38664823770523,after
0.0,0.6,0.3,GCN,0.7166666666666667,14.318561553955078,5.402369797229767,before
0.0,0.6,0.3,GCN,0.6833333333333333,3.11454851180315,17.654362320899963,after
0.0,0.7,0.3,GCN,0.67,19.042642414569855,5.070631206035614,before
0.0,0.7,0.3,GCN,0.6566666666666666,17.830267548561096,9.005013108253479,after
0.0,0.8,0.3,GCN,0.67,6.354515254497528,10.705399513244629,before
0.0,0.8,0.3,GCN,0.6366666666666667,6.312709301710129,11.566644161939621,after
0.0,0.9,0.3,GCN,0.6266666666666667,22.65886217355728,14.22078013420105,before
0.0,0.9,0.3,GCN,0.6766666666666666,9.301839768886566,11.553201079368591,after
0.0,1.0,0.3,GCN,0.7766666666666666,24.47742521762848,22.0626562833786,before
0.0,1.0,0.3,GCN,0.6733333333333333,2.550167217850685,19.06561851501465,after
0.1,0.0,0.3,GCN,0.6566666666666666,17.64214038848877,10.901344567537308,before
0.1,0.0,0.3,GCN,0.66,19.627925753593445,12.027797102928162,after
0.1,0.1,0.3,GCN,0.7166666666666667,22.993311285972595,4.647072032094002,before
0.1,0.1,0.3,GCN,0.68,18.415552377700806,4.455684870481491,after
0.1,0.2,0.3,GCN,0.69,5.413879454135895,9.072909504175186,before
0.1,0.2,0.3,GCN,0.6866666666666666,23.118728399276733,8.307814598083496,after
0.1,0.3,0.3,GCN,0.6833333333333333,17.182274162769318,4.535429552197456,before
0.1,0.3,0.3,GCN,0.6933333333333334,16.304348409175873,12.475962936878204,after
0.1,0.4,0.3,GCN,0.66,1.1705685406923294,12.398040294647217,before
0.1,0.4,0.3,GCN,0.66,18.478260934352875,7.636591792106628,after
0.1,0.5,0.3,GCN,0.7066666666666667,26.609531044960022,14.70494419336319,before
0.1,0.5,0.3,GCN,0.6833333333333333,21.11203968524933,16.0318985581398,after
0.1,0.6,0.3,GCN,0.68,17.70484894514084,4.314878210425377,before
0.1,0.6,0.3,GCN,0.75,21.948160231113434,3.645933046936989,after
0.1,0.7,0.3,GCN,0.7066666666666667,22.010870277881622,6.561402976512909,before
