graph,h_mm,h_MM,fm,model,mean_acc,std_acc,mean_sp,std_sp,mean_eo,std_eo,phase,rho
Heterophilic,0.2,0.2,GCN,0.5,75.2,1.4079141387961949,7.4252136796712875,1.785498914571478,6.068858504295349,1.9098372800398264,before,0.2
Heterophilic,0.2,0.2,GCN,0.5,75.06666666666668,0.8537498983243806,9.9465811252594,2.220937518866367,3.0895502120256424,1.8023523852640315,after,0.2
Hete/Homo,0.8,0.2,GCN,0.5,79.06666666666666,0.6463573143221789,35.22435903549194,3.522822913169979,22.323660254478455,3.3076846400824618,before,0.4
Hete/Homo,0.8,0.2,GCN,0.5,78.66666666666667,0.9888264649460896,35.170939564704895,1.4005914389792504,23.327229022979736,1.5793494602993237,after,0.4
Neutral,0.5,0.5,GCN,0.5,74.46666666666665,1.0022197585581947,10.0,2.1838819277651433,4.849191941320896,1.870993366539432,before,0.5
Neutral,0.5,0.5,GCN,0.5,74.13333333333334,1.127435635019181,11.816239356994629,2.628813368244585,5.119263753294945,1.4695374723681494,after,0.5
Homo/Hete,0.2,0.8,GCN,0.5,71.93333333333334,1.7435595774162698,9.166666641831398,4.546639857404302,9.003274105489254,3.917100851120778,before,0.8
Homo/Hete,0.2,0.8,GCN,0.5,69.66666666666667,1.1737877907772674,13.429487291723492,7.214711050895045,6.506691351532937,4.210956500569727,after,0.8
Homophilic,0.8,0.8,GCN,0.5,69.86666666666667,1.5143755588800756,27.14743554592133,0.9682809122015171,17.482474446296692,0.8515825996012213,before,1.0
Homophilic,0.8,0.8,GCN,0.5,69.93333333333334,3.635626187849593,34.49786305427551,5.474361954205128,25.369175970554352,7.509130311261501,after,1.0
