h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.0,0.3,GCN,0.7566666666666667,20.213210582733154,13.57097327709198,before
0.0,0.0,0.3,GCN,0.73,24.811872839927673,18.686944246292114,after
0.0,0.1,0.3,GCN,0.7366666666666667,28.010034561157227,14.931419491767883,before
0.0,0.1,0.3,GCN,0.71,25.083613395690918,11.669628322124481,after
0.0,0.2,0.3,GCN,0.7333333333333333,23.683109879493713,7.849624007940292,before
0.0,0.2,0.3,GCN,0.77,32.00250864028931,14.944407343864441,after
0.0,0.3,0.3,GCN,0.7633333333333333,15.88628739118576,4.544543102383614,before
0.0,0.3,0.3,GCN,0.73,25.54347813129425,10.03645434975624,after
0.0,0.4,0.3,GCN,0.7533333333333333,22.282609343528748,2.6368193328380585,before
0.0,0.4,0.3,GCN,0.7233333333333334,23.724916577339172,8.044429123401642,after
0.0,0.5,0.3,GCN,0.73,23.118728399276733,6.483025848865509,before
0.0,0.5,0.3,GCN,0.7333333333333333,21.67642116546631,5.525632202625275,after
0.0,0.6,0.3,GCN,0.7566666666666667,21.341973543167114,2.2804738953709602,before
0.0,0.6,0.3,GCN,0.7366666666666667,27.36203968524933,10.76076626777649,after
0.0,0.7,0.3,GCN,0.78,23.85033518075943,8.757803589105606,before
0.0,0.7,0.3,GCN,0.73,26.943978667259216,9.306220710277557,after
0.0,0.8,0.3,GCN,0.7066666666666667,26.21237337589264,10.168375074863434,before
0.0,0.8,0.3,GCN,0.7333333333333333,24.142976105213165,5.820915848016739,after
0.0,0.9,0.3,GCN,0.78,19.648829102516174,3.2875370234251022,before
0.0,0.9,0.3,GCN,0.7633333333333333,25.836119055747986,6.978355348110199,after
0.0,1.0,0.3,GCN,0.82,25.919732451438904,11.692184954881668,before
0.0,1.0,0.3,GCN,0.75,27.717390656471252,8.348143100738525,after
0.1,0.0,0.3,GCN,0.76,21.362876892089844,10.725222527980804,before
0.1,0.0,0.3,GCN,0.7366666666666667,28.553512692451477,12.961038947105408,after
0.1,0.1,0.3,GCN,0.7533333333333333,17.725752294063568,2.9421281069517136,before
0.1,0.1,0.3,GCN,0.7133333333333334,19.586120545864105,7.488721609115601,after
0.1,0.2,0.3,GCN,0.74,31.417223811149597,15.928912162780762,before
0.1,0.2,0.3,GCN,0.7433333333333333,30.790135264396667,15.430621802806854,after
0.1,0.3,0.3,GCN,0.72,22.826087474822998,7.190931588411331,before
0.1,0.3,0.3,GCN,0.74,8.779264241456985,10.139667242765427,after
0.1,0.4,0.3,GCN,0.6866666666666666,27.111205458641052,14.845295250415802,before
0.1,0.4,0.3,GCN,0.7233333333333334,23.9130437374115,11.773980408906937,after
0.1,0.5,0.3,GCN,0.77,37.270066142082214,19.396445155143738,before
0.1,0.5,0.3,GCN,0.7333333333333333,26.860368251800537,13.652312755584717,after
0.1,0.6,0.3,GCN,0.7266666666666667,29.954013228416443,16.199590265750885,before
0.1,0.6,0.3,GCN,0.7633333333333333,24.226588010787964,4.3005239218473434,after
0.1,0.7,0.3,GCN,0.7366666666666667,33.92558395862579,19.750967621803284,before
0.1,0.7,0.3,GCN,0.7566666666666667,38.02257478237152,23.95101487636566,after
0.1,0.8,0.3,GCN,0.7833333333333333,24.43561851978302,9.722259640693665,before
0.1,0.8,0.3,GCN,0.7333333333333333,27.382943034172058,13.197767734527588,after
0.1,0.9,0.3,GCN,0.78,30.476588010787964,7.815219461917877,before
0.1,0.9,0.3,GCN,0.8133333333333334,33.758360147476196,7.687400281429291,after
0.1,1.0,0.3,GCN,0.7533333333333333,19.648829102516174,0.8569150231778622,before
0.1,1.0,0.3,GCN,0.7533333333333333,26.379597187042236,6.540669500827789,after
0.2,0.0,0.3,GCN,0.7033333333333334,12.228260934352875,8.65459144115448,before
0.2,0.0,0.3,GCN,0.71,14.005017280578613,13.69469165802002,after
0.2,0.1,0.3,GCN,0.7366666666666667,25.083613395690918,9.239006787538528,before
0.2,0.1,0.3,GCN,0.72,27.989131212234497,16.911369562149048,after
0.2,0.2,0.3,GCN,0.76,14.841137826442719,6.360674649477005,before
0.2,0.2,0.3,GCN,0.72,16.053511202335358,9.702666103839874,after
0.2,0.3,0.3,GCN,0.7566666666666667,24.47742521762848,5.042378604412079,before
0.2,0.3,0.3,GCN,0.7033333333333334,25.836119055747986,10.86261123418808,after
0.2,0.4,0.3,GCN,0.7633333333333333,23.515886068344116,3.709045425057411,before
0.2,0.4,0.3,GCN,0.7266666666666667,23.996655642986298,8.815447986125946,after
0.2,0.5,0.3,GCN,0.7166666666666667,20.923912525177002,8.91433134675026,before
0.2,0.5,0.3,GCN,0.7066666666666667,22.617056965827942,9.435179084539413,after
0.2,0.6,0.3,GCN,0.73,31.25,15.251082181930542,before
0.2,0.6,0.3,GCN,0.7166666666666667,30.434781312942505,15.88926911354065,after
0.2,0.7,0.3,GCN,0.76,29.347825050354004,9.336750954389572,before
0.2,0.7,0.3,GCN,0.7433333333333333,33.779263496398926,17.0931875705719,after
0.2,0.8,0.3,GCN,0.7033333333333334,29.933109879493713,17.202551662921906,before
0.2,0.8,0.3,GCN,0.7566666666666667,27.445653080940247,7.411482930183411,after
0.2,0.9,0.3,GCN,0.7733333333333333,26.985785365104675,8.532695472240448,before
0.2,0.9,0.3,GCN,0.7766666666666666,27.90551781654358,5.775119736790657,after
0.2,1.0,0.3,GCN,0.71,27.29932963848114,15.110959112644196,before
0.2,1.0,0.3,GCN,0.75,26.588627696037292,6.424698233604431,after
0.3,0.0,0.3,GCN,0.7533333333333333,25.10451376438141,9.860105067491531,before
0.3,0.0,0.3,GCN,0.7466666666666667,29.807692766189575,15.49578458070755,after
0.3,0.1,0.3,GCN,0.74,22.11538404226303,9.987468272447586,before
0.3,0.1,0.3,GCN,0.76,28.34448218345642,12.068124860525131,after
0.3,0.2,0.3,GCN,0.75,12.395484745502472,8.451355993747711,before
0.3,0.2,0.3,GCN,0.76,21.822743117809296,2.1250853314995766,after
0.3,0.3,0.3,GCN,0.7166666666666667,24.059364199638367,14.211665093898773,before
0.3,0.3,0.3,GCN,0.7433333333333333,16.743311285972595,6.496012955904007,after
0.3,0.4,0.3,GCN,0.7333333333333333,30.769231915473938,17.119845747947693,before
0.3,0.4,0.3,GCN,0.72,30.1630437374115,17.36295223236084,after
0.3,0.5,0.3,GCN,0.7366666666666667,29.222407937049866,13.072681427001953,before
0.3,0.5,0.3,GCN,0.74,31.730768084526062,15.33629596233368,after
0.3,0.6,0.3,GCN,0.74,33.298495411872864,20.520392060279846,before
0.3,0.6,0.3,GCN,0.7333333333333333,29.243311285972595,14.500340819358826,after
0.3,0.7,0.3,GCN,0.7433333333333333,38.73327672481537,25.940990447998047,before
0.3,0.7,0.3,GCN,0.7566666666666667,41.05351269245148,26.910457015037537,after
0.3,0.8,0.3,GCN,0.7233333333333334,33.98829400539398,16.302575170993805,before
0.3,0.8,0.3,GCN,0.7,34.5108687877655,22.94144332408905,after
0.3,0.9,0.3,GCN,0.7466666666666667,32.3369562625885,14.116199314594269,before
